Id,WebName,FirstName,SecondName,DreamTeam,SelectedBy,Position,Team,GameWeek,Points,Cost,NetTransfers,MinutesPlayed,Goals,Assists,CleanSheet,Bonus,YellowCards,RedCards,GoalsConceded
18,Chamberlain,Alex,Oxlade-Chamberlain,False,1.3,Midfielder,Arsenal,8,1,59,-4637,9,0,0,0,0,0,0,0
18,Chamberlain,Alex,Oxlade-Chamberlain,False,1.3,Midfielder,Arsenal,9,1,58,-2345,17,0,0,0,0,0,0,0
19,Gnabry,Serge,Gnabry,False,0.0,Midfielder,Arsenal,1,0,50,0,0,0,0,0,0,0,0,0
19,Gnabry,Serge,Gnabry,False,0.0,Midfielder,Arsenal,2,0,50,-88,0,0,0,0,0,0,0,0
19,Gnabry,Serge,Gnabry,False,0.0,Midfielder,Arsenal,3,0,50,-28,0,0,0,0,0,0,0,0
19,Gnabry,Serge,Gnabry,False,0.0,Midfielder,Arsenal,4,0,50,-177,0,0,0,0,0,0,0,0
19,Gnabry,Serge,Gnabry,False,0.0,Midfielder,Arsenal,5,0,50,-80,0,0,0,0,0,0,0,0
19,Gnabry,Serge,Gnabry,False,0.0,Midfielder,Arsenal,6,0,50,-44,0,0,0,0,0,0,0,0
19,Gnabry,Serge,Gnabry,False,0.0,Midfielder,Arsenal,7,0,50,-36,0,0,0,0,0,0,0,0
19,Gnabry,Serge,Gnabry,False,0.0,Midfielder,Arsenal,8,0,50,-26,0,0,0,0,0,0,0,0
19,Gnabry,Serge,Gnabry,False,0.0,Midfielder,Arsenal,9,0,50,-13,0,0,0,0,0,0,0,0
20,Coquelin,Francis,Coquelin,False,2.0,Midfielder,Arsenal,1,1,45,0,90,0,0,0,0,1,0,4
20,Coquelin,Francis,Coquelin,False,2.0,Midfielder,Arsenal,2,2,45,-1292,90,0,0,1,0,1,0,0
20,Coquelin,Francis,Coquelin,False,2.0,Midfielder,Arsenal,3,0,45,1814,0,0,0,0,0,0,0,0
20,Coquelin,Francis,Coquelin,False,2.0,Midfielder,Arsenal,4,2,45,-11378,90,0,0,0,0,0,0,1
20,Coquelin,Francis,Coquelin,False,2.0,Midfielder,Arsenal,5,2,45,-4018,90,0,0,0,0,0,0,1
20,Coquelin,Francis,Coquelin,False,2.0,Midfielder,Arsenal,6,1,44,-757,31,0,0,0,0,0,0,0
20,Coquelin,Francis,Coquelin,False,2.0,Midfielder,Arsenal,7,0,44,-8994,0,0,0,0,0,0,0,0
20,Coquelin,Francis,Coquelin,False,2.0,Midfielder,Arsenal,8,1,43,577,23,0,0,0,0,0,0,0
20,Coquelin,Francis,Coquelin,False,2.0,Midfielder,Arsenal,9,3,43,3734,90,0,0,1,0,0,0,0
21,Iwobi,Alex,Iwobi,False,1.6,Midfielder,Arsenal,1,3,60,0,58,0,1,0,0,1,0,3
21,Iwobi,Alex,Iwobi,False,1.6,Midfielder,Arsenal,2,0,60,-18916,0,0,0,0,0,0,0,0
21,Iwobi,Alex,Iwobi,False,1.6,Midfielder,Arsenal,3,0,59,-12503,0,0,0,0,0,0,0,0
21,Iwobi,Alex,Iwobi,False,1.6,Midfielder,Arsenal,4,1,58,-4042,16,0,0,0,0,0,0,0
21,Iwobi,Alex,Iwobi,False,1.6,Midfielder,Arsenal,5,11,58,-231,76,0,2,1,2,0,0,0
21,Iwobi,Alex,Iwobi,False,1.6,Midfielder,Arsenal,6,3,58,16169,68,0,0,1,0,0,0,0
21,Iwobi,Alex,Iwobi,False,1.6,Midfielder,Arsenal,7,3,58,19495,70,0,0,1,0,0,0,0
21,Iwobi,Alex,Iwobi,False,1.6,Midfielder,Arsenal,8,2,58,13512,67,0,0,0,0,0,0,2
21,Iwobi,Alex,Iwobi,False,1.6,Midfielder,Arsenal,9,3,58,-4696,66,0,0,1,0,0,0,0
22,Elneny,Mohamed,Elneny,False,0.5,Midfielder,Arsenal,1,2,50,0,66,0,0,0,0,0,0,4
22,Elneny,Mohamed,Elneny,False,0.5,Midfielder,Arsenal,2,0,50,-955,0,0,0,0,0,0,0,0
22,Elneny,Mohamed,Elneny,False,0.5,Midfielder,Arsenal,3,1,49,-4890,21,0,0,0,0,0,0,0
22,Elneny,Mohamed,Elneny,False,0.5,Midfielder,Arsenal,4,0,49,-4334,0,0,0,0,0,0,0,0
22,Elneny,Mohamed,Elneny,False,0.5,Midfielder,Arsenal,5,4,48,-3043,14,0,1,0,0,0,0,1
22,Elneny,Mohamed,Elneny,False,0.5,Midfielder,Arsenal,6,0,48,-1497,0,0,0,0,0,0,0,0
22,Elneny,Mohamed,Elneny,False,0.5,Midfielder,Arsenal,7,1,47,-1481,20,0,0,0,0,0,0,0
22,Elneny,Mohamed,Elneny,False,0.5,Midfielder,Arsenal,8,0,47,-973,0,0,0,0,0,0,0,0
22,Elneny,Mohamed,Elneny,False,0.5,Midfielder,Arsenal,9,3,47,-872,73,0,0,1,0,0,0,0
23,Campbell,Joel,Campbell,False,0.0,Midfielder,Arsenal,1,0,60,0,0,0,0,0,0,0,0,0
23,Campbell,Joel,Campbell,False,0.0,Midfielder,Arsenal,2,0,59,-1133,0,0,0,0,0,0,0,0
23,Campbell,Joel,Campbell,False,0.0,Midfielder,Arsenal,3,0,59,-1982,0,0,0,0,0,0,0,0
23,Campbell,Joel,Campbell,False,0.0,Midfielder,Arsenal,4,0,59,-758,0,0,0,0,0,0,0,0
23,Campbell,Joel,Campbell,False,0.0,Midfielder,Arsenal,5,0,59,-224,0,0,0,0,0,0,0,0
23,Campbell,Joel,Campbell,False,0.0,Midfielder,Arsenal,6,0,59,-140,0,0,0,0,0,0,0,0
23,Campbell,Joel,Campbell,False,0.0,Midfielder,Arsenal,7,0,59,-70,0,0,0,0,0,0,0,0
23,Campbell,Joel,Campbell,False,0.0,Midfielder,Arsenal,8,0,59,-65,0,0,0,0,0,0,0,0
23,Campbell,Joel,Campbell,False,0.0,Midfielder,Arsenal,9,0,59,-35,0,0,0,0,0,0,0,0
24,Xhaka,Granit,Xhaka,False,3.4,Midfielder,Arsenal,1,0,55,0,24,0,0,0,0,1,0,0
24,Xhaka,Granit,Xhaka,False,3.4,Midfielder,Arsenal,2,3,55,-33475,72,0,0,1,0,0,0,0
24,Xhaka,Granit,Xhaka,False,3.4,Midfielder,Arsenal,3,2,54,-18120,90,0,0,0,0,0,0,1
24,Xhaka,Granit,Xhaka,False,3.4,Midfielder,Arsenal,4,0,54,-20560,0,0,0,0,0,0,0,0
24,Xhaka,Granit,Xhaka,False,3.4,Midfielder,Arsenal,5,6,53,-28517,24,1,0,0,0,0,0,1
24,Xhaka,Granit,Xhaka,False,3.4,Midfielder,Arsenal,6,1,53,5524,59,0,0,0,0,0,0,0
24,Xhaka,Granit,Xhaka,False,3.4,Midfielder,Arsenal,7,3,53,-558,70,0,0,1,0,0,0,0
24,Xhaka,Granit,Xhaka,False,3.4,Midfielder,Arsenal,8,-1,53,-2626,69,0,0,0,0,0,1,2
